"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","STANDARD COMPONENT ID","PLAN ID","BENEFIT NAME","IS EHB","IS STATE MANDATE","IS COVERED","QUANTITY LIMIT ON SVC","LIMIT QUANTITY","LIMIT UNIT","MINIMUM STAY",EXCLUSIONS,EXPLANATION,"EHB VAR REASON","IS SUBJECTED TO DED TIER 1","IS SUBJECTED TO DED TIER 2","IS EXCLUDED FROM INN MOOP","IS EXCLUDED FROM OON MOOP"
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Habilitation Services",Yes,,Yes,Yes,40,"Visit(s) per Year",,,,,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Treatment for Temporomandibular Joint Disorders",Yes,,Yes,,,,,,"Some PT and surgery covered.",,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Emergency Room Services",Yes,,Yes,,,,,,,,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Accidental Ingestion of a Controlled Drug",No,,Yes,,,,,,,"Additional EHB Benefit",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Diabetes Care Management",No,,Yes,,,,,,,"Additional EHB Benefit",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Abortion for Which Public Funding is Prohibited",No,,Yes,Yes,3,"Procedure(s) per Lifetime",,,,"Not EHB",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Specialty Drugs",Yes,,Yes,,,,,,"30-day supply mail order.",,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Post-Mastectomy Care",No,,Yes,,,,,,,"Additional EHB Benefit",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Preventive Care/Screening/Immunization",Yes,,Yes,,,,,,,,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Hearing Aids",Yes,,Yes,Yes,1,"Item(s) per 2 Years",,,,,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Private-Duty Nursing",No,,No,,,,,,,,,,,
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Weight Loss Programs",No,,No,,,,,,,,,,,
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Bone Marrow Testing",No,,Yes,,,,,,,"Additional EHB Benefit",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Routine Eye Exam for Children",Yes,,Yes,Yes,1,"Exam(s) per Year",,,"Covered up to age 26","Substantially Equal",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Routine Foot Care",No,,No,,,,,,,,,,,
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Substance Abuse Disorder Outpatient Services",Yes,,Yes,,,,,,"No cost when services are provided by Teladoc",,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Urgent Care Centers or Facilities",Yes,,Yes,,,,,,,,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Mental/Behavioral Health Outpatient Services",Yes,,Yes,,,,,,"No cost when services are provided by Teladoc",,,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Inherited Metabolic Disorder - PKU",No,,Yes,,,,,,,"Additional EHB Benefit",,,No,No
2024,CT,76962,SERFF,1,2/12/2024,76962CT0010001,76962CT0010001-01,"Mammography Ultrasound",No,,Yes,,,,,,,"Additional EHB Benefit",,,No,No
