"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","FEDERAL TIN","RATE EXPIRATION","RATE EFFECTIVE DATE","PLAN ID","RATING AREA ID",TOBACCO,AGE,QHP_NON_QHP_TYPE_ID,"INDIVIDUAL RATE","INDIVIDUAL TOBACCO RATE",COUPLE,"PRIMARY SUBSCRIBER AND ONE DEPENDENT","PRIMARY SUBSCRIBER AND TWO DEPENDENTS","PRIMARY SUBSCRIBER AND THREE OR MORE DEPENDENTS","COUPLE AND ONE DEPENDENT","COUPLE AND TWO DEPENDENTS","COUPLE AND THREE OR MORE DEPENDENTS"
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",0-14,Both,381.93,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",15,Both,415.88,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",16,Both,428.86,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",17,Both,441.84,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",18,Both,455.82,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",19,Both,469.80,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",20,Both,484.28,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",21,Both,499.26,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",22,Both,499.26,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",23,Both,499.26,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",24,Both,499.26,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",25,Both,501.26,,,,,,,,
2024,CT,76962,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,76962CT0010001,"Rating Area 1","No Preference",26,Both,511.24,,,,,,,,
