"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010008,"Health Options Clear Choice Bronze $7500 PPO NE",33653ME001,,MEN001,MES001,MEF015,Existing,PPO,"Expanded Bronze",Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010008-01,"Standard Bronze On Exchange Plan",64.92%,0.66482551,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,450 ","$9450 per person | $18900 per group",,,"$18,900 ","$18900 per person | $37900 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$7,500 ","$7500 per person | $15000 per group",50.00%,,,,"$15,000 ","$15000 per person | $30000 per group","Not Applicable","per person not applicable | per group not applicable","$7,500 ","$0 ","$1,950 ","$0 ","$400 ","$532 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Bronze $7500 PPO NE","$2,090 ","$425 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010008,"Health Options Clear Choice Bronze $7500 PPO NE",33653ME001,,MEN001,MES001,MEF015,Existing,PPO,"Expanded Bronze",Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010008-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Bronze $7500 PPO NE CSR 100","$0 ","$0 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010008,"Health Options Clear Choice Bronze $7500 PPO NE",33653ME001,,MEN001,MES001,MEF015,Existing,PPO,"Expanded Bronze",Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010008-03,"Limited Cost Sharing Plan Variation",64.92%,0.66482551,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,450 ","$9450 per person | $18900 per group",,,"$18,900 ","$18900 per person | $37900 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$7,500 ","$7500 per person | $15000 per group",50.00%,,,,"$15,000 ","$15000 per person | $30000 per group","Not Applicable","per person not applicable | per group not applicable","$7,500 ","$0 ","$1,950 ","$0 ","$400 ","$532 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Bronze $7500 PPO NE CSR LCS","$2,090 ","$425 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010009,"Health Options Clear Choice Bronze $9450 PPO NE",33653ME001,,MEN001,MES001,MEF013,Existing,PPO,"Expanded Bronze",Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010009-01,"Standard Bronze On Exchange Plan",64.78%,0.669474244,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,450 ","$9450 per person | $18900 per group",,,"$18,900 ","$18900 per person | $37800 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$9,450 ","$9450 per person | $18900 per group",0.00%,,,,"$18,900 ","$18900 per person | $37800 per group","Not Applicable","per person not applicable | per group not applicable","$9,450 ","$0 ","$0 ","$0 ","$437 ","$494 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Bronze $9450 PPO NE","$2,459 ","$240 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010009,"Health Options Clear Choice Bronze $9450 PPO NE",33653ME001,,MEN001,MES001,MEF013,Existing,PPO,"Expanded Bronze",Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010009-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Bronze $9450 PPO NE CSR 100","$0 ","$0 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010009,"Health Options Clear Choice Bronze $9450 PPO NE",33653ME001,,MEN001,MES001,MEF013,Existing,PPO,"Expanded Bronze",Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010009-03,"Limited Cost Sharing Plan Variation",64.78%,0.669474244,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,450 ","$9450 per person | $18900 per group",,,"$18,900 ","$18900 per person | $37800 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$9,450 ","$9450 per person | $18900 per group",0.00%,,,,"$18,900 ","$18900 per person | $37800 per group","Not Applicable","per person not applicable | per group not applicable","$9,450 ","$0 ","$0 ","$0 ","$437 ","$494 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Bronze $9450 PPO NE CSR LCS","$2,459 ","$240 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010010,"Health Options Clear Choice Silver $3000 PPO NE",33653ME001,,MEN001,MES001,MEF008,Existing,PPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,"$600 ",,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010010-01,"Standard Silver On Exchange Plan",71.12%,0.734936742,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,100 ","$9100 per person | $18200 per group",,,"$18,200 ","$18200 per person | $36400 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,000 ","$3000 per person | $6000 per group",40.00%,,,,"$9,800 ","$9800 per person | $19600 per group","Not Applicable","per person not applicable | per group not applicable","$3,000 ","$26 ","$3,767 ","$0 ","$122 ","$580 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Silver $3000 PPO NE","$2,090 ","$405 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010010,"Health Options Clear Choice Silver $3000 PPO NE",33653ME001,,MEN001,MES001,MEF008,Existing,PPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010010-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Silver $3000 PPO NE CSR 100","$0 ","$0 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010010,"Health Options Clear Choice Silver $3000 PPO NE",33653ME001,,MEN001,MES001,MEF008,Existing,PPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,"$600 ",,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010010-03,"Limited Cost Sharing Plan Variation",71.12%,0.734936742,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$9,100 ","$9100 per person | $18200 per group",,,"$18,200 ","$18200 per person | $36400 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$3,000 ","$3000 per person | $6000 per group",40.00%,,,,"$9,800 ","$9800 per person | $19600 per group","Not Applicable","per person not applicable | per group not applicable","$3,000 ","$26 ","$3,767 ","$0 ","$122 ","$580 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Silver $3000 PPO NE CSR LCS","$2,090 ","$405 ","$0 ","$0 "
2024,ME,,33653,SERFF,1,2/12/2024,,Individual,No,,33653ME0010010,"Health Options Clear Choice Silver $3000 PPO NE",33653ME001,,MEN001,MES001,MEF008,Existing,PPO,Silver,Yes,Both,Yes,No,,,No,,,"Allows Adult and Child-Only",,Yes,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Pain Management, Depression, Low Back Pain, Diabetes, Heart Disease, Asthma",,,"$600 ",,1,,1/1/2024,12/31/2024,No,,Yes,"Emergency services coverage available within the United States. Non-emergency service coverage is available outside the Service Area on an Out-of-Network basis.",No,,,,,33653ME0010010-04,"73% AV Level Silver Plan",73.94%,0.761128217,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$7,100 ","$7100 per person | $14200 per group",,,"$18,200 ","$18200 per person | $36400 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,800 ","$2800 per person | $5600 per group",40.00%,,,,"$9,800 ","$9800 per person | $19600 per group","Not Applicable","per person not applicable | per group not applicable","$2,800 ","$26 ","$3,847 ","$0 ","$122 ","$579 ","$0 ","$0 ",99%,"Not Applicable",No,"Health Options Clear Choice Silver $3000 PPO NE CSR 73","$2,090 ","$370 ","$0 ","$0 "
