"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","SERVICE AREA ID","SERVICE AREA NAME","COVER ENTIRE STATE",COUNTY,"COUNTY NAME","PARTIAL COUNTY","ZIP CODE","PARTIAL COUNTY JUSTIFICATION","MARKET COVERAGE","DENTAL PLAN ONLY"
2024,ME,33653,SERFF,1,02-12-2024,MES001,"Service Area 001- Individual",true,,,,,,"SHOP (Small Group)",No
2024,ME,33653,SERFF,1,02-12-2024,MES001,"Service Area 001- Individual",true,,,,,,Individual,No
2024,ME,33653,SERFF,1,02-12-2024,MES002,"Service Area 002- SHOP",true,,,,,,"SHOP (Small Group)",No
2024,ME,33653,SERFF,1,02-12-2024,MES002,"Service Area 002- SHOP",true,,,,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES001,"Anthem Health Plans of ME(Anthem BCBS)All",true,,,,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES001,"Anthem Health Plans of ME(Anthem BCBS)All",true,,,,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Kennebec - 23011",Kennebec,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Sagadahoc - 23023",Sagadahoc,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"York - 23031",York,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Lincoln - 23015",Lincoln,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Cumberland - 23005",Cumberland,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Waldo - 23027",Waldo,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Kennebec - 23011",Kennebec,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Knox - 23013",Knox,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Sagadahoc - 23023",Sagadahoc,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Knox - 23013",Knox,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Cumberland - 23005",Cumberland,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Franklin - 23007",Franklin,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Waldo - 23027",Waldo,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Androscoggin - 23001",Androscoggin,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Androscoggin - 23001",Androscoggin,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"York - 23031",York,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Oxford - 23017",Oxford,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Lincoln - 23015",Lincoln,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Franklin - 23007",Franklin,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES003,"Anthem Health Plans of ME(Anthem BCBS)01,02,03",false,"Oxford - 23017",Oxford,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES005,"Anthem Health Plans of ME(Anthem BCBS)03",false,"Somerset - 23025",Somerset,false,,,Individual,Yes
2024,ME,48396,SERFF,1,02-12-2024,MES005,"Anthem Health Plans of ME(Anthem BCBS)03",false,"Somerset - 23025",Somerset,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES005,"Anthem Health Plans of ME(Anthem BCBS)03",false,"Penobscot - 23019",Penobscot,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES005,"Anthem Health Plans of ME(Anthem BCBS)03",false,"Piscataquis - 23021",Piscataquis,false,,,Individual,No
2024,ME,48396,SERFF,1,02-12-2024,MES005,"Anthem Health Plans of ME(Anthem BCBS)03",false,"Penobscot - 23019",Penobscot,false,,,Individual,Yes
