"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","STANDARD COMPONENT ID","PLAN ID","BENEFIT NAME","IS EHB","IS STATE MANDATE","IS COVERED","QUANTITY LIMIT ON SVC","LIMIT QUANTITY","LIMIT UNIT","MINIMUM STAY",EXCLUSIONS,EXPLANATION,"EHB VAR REASON","IS SUBJECTED TO DED TIER 1","IS SUBJECTED TO DED TIER 2","IS EXCLUDED FROM INN MOOP","IS EXCLUDED FROM OON MOOP"
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Major Dental Care - Child",Yes,,Yes,Yes,1,"Visit(s) per 3 Years",,,"Benefit limit varies based upon procedure. Please see Summary of Benefits for additional details.","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Orthodontia - Adult",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Orthodontia - Child",No,,Yes,Yes,1,"Visit(s) per Lifetime",,,"Medically necessary only.","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Dental Check-Up for Children",Yes,,Yes,Yes,2,"Visit(s) per Year",,,"Oral exams, cleanings, fluoride limited to twice in 12 months","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Routine Dental Services (Adult)",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Basic Dental Care - Child",Yes,,Yes,Yes,1,"Visit(s) per Year",,,"Benefit limit varies based upon procedure. Please see Summary of Benefits for additional details.","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Major Dental Care - Adult",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Accidental Dental",No,,Yes,Yes,1,"Treatment(s) per Episode",,,"Benefit limit varies based upon procedure. Please see Summary of Benefits for additional details.","Not EHB",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0010001,11821MA0010001-01,"Basic Dental Care - Adult",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Basic Dental Care - Child",Yes,,Yes,Yes,1,"Visit(s) per Year",,,"Benefit limit varies based upon procedure. Please see Summary of Benefits for additional details.","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Basic Dental Care - Adult",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Orthodontia - Adult",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Major Dental Care - Adult",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Major Dental Care - Child",Yes,,Yes,Yes,1,"Visit(s) per 3 Years",,,"Benefit limit varies based upon procedure. Please see Summary of Benefits for additional details.","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Routine Dental Services (Adult)",No,,No,,,,,,,,,,,
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Orthodontia - Child",No,,Yes,Yes,1,"Visit(s) per Lifetime",,,"Medically necessary only.","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Dental Check-Up for Children",Yes,,Yes,Yes,2,"Visit(s) per Year",,,"Oral exams, cleanings, fluoride limited to twice in 12 months","Substantially Equal",,,No,Yes
2024,MA,11821,SERFF,1,2/12/2024,11821MA0030001,11821MA0030001-01,"Accidental Dental",No,,Yes,Yes,1,"Treatment(s) per Episode",,,"Benefit limit varies based upon procedure. Please see Summary of Benefits for additional details.","Not EHB",,,No,Yes
