"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2024,MA,,11821,SERFF,1,2/12/2024,,Individual,Yes,,11821MA0010001,"Delta Dental Individual and Family PPO Pediatric",11821MA001,,MAN001,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2024,12/31/2024,Yes,"Emergency Only.",Yes,"National network coverage",Yes,,,,,11821MA0010001-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","per person not applicable | per group not applicable",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","per person not applicable | per group not applicable",,,,,"$50 ","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental Individual and Family PPO Pediatric",,,,
2024,MA,,11821,SERFF,1,2/12/2024,,Individual,Yes,,11821MA0030001,"Delta Dental Individual and Family Premier Pediatric",11821MA003,,MAN002,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2024,12/31/2024,Yes,"Emergency Only.",Yes,"National network coverage",Yes,,,,,11821MA0030001-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","per person not applicable | per group not applicable",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","per person not applicable | per group not applicable",,,,,"$50 ","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental Individual and Family Premier Pediatric",,,,
2024,MA,,11821,SERFF,1,2/12/2024,,Individual,Yes,,11821MA0030003,"Delta Dental Individual and Family Premier Enhanced",11821MA003,,MAN002,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2024,12/31/2024,Yes,"Emergency Only.",Yes,"National netwrok coverage",Yes,,,,,11821MA0030003-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental Individual and Family Premier Enhanced",,,,
2024,MA,,11821,SERFF,1,2/12/2024,,Individual,Yes,,11821MA0030004,"Delta Dental Individual and Family Premier Value",11821MA003,,MAN002,MAS001,,Existing,PPO,Low,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2024,12/31/2024,Yes,"Emergency Only.",Yes,"National netwrok coverage",Yes,,,,,11821MA0030004-01,"Standard Low On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental Individual and Family Premier Value",,,,
2024,MA,,11821,SERFF,1,2/12/2024,,"SHOP (Small Group)",Yes,,11821MA0040003,"Delta Dental Premier Family Enhanced",11821MA004,,MAN004,MAS002,,Existing,PPO,High,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,,"Guaranteed Rate",,,,,1/1/2024,,Yes,"Emergency Only.",Yes,"National netwrok coverage",Yes,,,,,11821MA0040003-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental Premier Family Enhanced",,,,
2024,MA,,11821,SERFF,1,2/12/2024,,"SHOP (Small Group)",Yes,,11821MA0040004,"Delta Dental Premier Family Value",11821MA004,,MAN004,MAS002,,Existing,PPO,Low,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,,"Guaranteed Rate",,,,,1/1/2024,,Yes,"Emergency Only.",Yes,"National netwrok coverage",Yes,,,,,11821MA0040004-01,"Standard Low On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Delta Dental Premier Family Value",,,,
2024,MA,,18076,SERFF,1,2/12/2024,,"SHOP (Small Group)",Yes,,18076MA0010002,"Altus Dental High Plan",18076MA001,,MAN001,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,,"Guaranteed Rate",,,,,1/1/2024,,No,,Yes,"National Network",Yes,,,,,18076MA0010002-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Family Standard High: Altus Dental High Plan",,,,
2024,MA,,18076,SERFF,1,2/12/2024,,"SHOP (Small Group)",Yes,,18076MA0010003,"Altus Dental Low Plan",18076MA001,,MAN001,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,,"Guaranteed Rate",,,,,1/1/2024,,No,,Yes,"National Network",Yes,,,,,18076MA0010003-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Standard Family Low: Altus Dental Low Plan",,,,
2024,MA,,18076,SERFF,1,2/12/2024,,Individual,Yes,,18076MA0020001,"Altus Dental Under Age 19 Plan",18076MA002,,MAN001,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2024,,No,,Yes,"National Network",Yes,,,,,18076MA0020001-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","per person not applicable | per group not applicable",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","per person not applicable | per group not applicable",,,,,"$50 ","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Standard Pediatric Only: Altus Dental Under Age 19 Plan",,,,
2024,MA,,18076,SERFF,1,2/12/2024,,Individual,Yes,,18076MA0020002,"Altus Dental High Plan",18076MA002,,MAN001,MAS001,,Existing,PPO,High,,Both,,,,,,,,"Allows Adult and Child-Only",,No,,100.00%,"Guaranteed Rate",,,,,1/1/2024,,No,,Yes,"National Network",Yes,,,,,18076MA0020002-01,"Standard High On Exchange Plan",,,,,No,100%,,"$350 ","$350 per person | $700 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,"$50 ","$50 per person | $150 per group",,,,,"$50 ","$50 per person | $150 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Standard Family High: Altus Dental High Plan",,,,
