"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","STANDARD COMPONENT ID","PLAN ID","BENEFIT NAME","IS EHB","IS STATE MANDATE","IS COVERED","QUANTITY LIMIT ON SVC","LIMIT QUANTITY","LIMIT UNIT","MINIMUM STAY",EXCLUSIONS,EXPLANATION,"EHB VAR REASON","IS SUBJECTED TO DED TIER 1","IS SUBJECTED TO DED TIER 2","IS EXCLUDED FROM INN MOOP","IS EXCLUDED FROM OON MOOP"
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Nutritional Counseling",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Long-Term/Custodial Nursing Home Care",No,,No,,,,,,,,,,,
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Diabetes Education",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Infusion Therapy",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Outpatient Surgery Physician/Surgical Services",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Outpatient Rehabilitation Services",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Well Baby Visits and Care",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Routine Dental Services (Adult)",No,,No,,,,,,,,,,,
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Mental/Behavioral Health Inpatient Services",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Non-Preferred Brand Drugs",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Routine Eye Exam for Children",Yes,,Yes,Yes,1,"Exam(s) per Year",,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Chiropractic Care",Yes,,Yes,Yes,12,"Visit(s) per Year",,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Basic Dental Care - Child",Yes,,Yes,,,,,,"Supplemented with FEDVIP MetLife Dental Plan.",,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,Dialysis,Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Preferred Brand Drugs",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Inpatient Hospital Services (e.g., Hospital Stay)",Yes,,Yes,,,,,,"Coverage for Inpatient Rehabilitation is limited to 45 days per calendar year","Additional EHB Benefit",,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Skilled Nursing Facility",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Emergency Room Services",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Laboratory Outpatient and Professional Services",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Bariatric Surgery",Yes,,Yes,,,,,,"To treat functional impairment when medically necessary.",,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Orthodontia - Adult",No,,No,,,,,,,,,,,
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Hospice Services",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,Acupuncture,No,,No,,,,,,,,,,,
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Allergy Testing",Yes,,Yes,,,,,,,,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Emergency Transportation/Ambulance",Yes,,Yes,,,,,"This plan does not provide coverage for transportation to a physician's office. ","Air & Water Ambulance is limited to a benefit maximum of $3000 per occurrence.","Additional EHB Benefit",,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Substance Abuse Disorder Inpatient Services",Yes,,Yes,,,,,,"Residential/Rehabilitation and detox have unlimited days per plan year.",,,,No,No
2024,RI,15287,SERFF,1,2/12/2024,15287RI0020006,15287RI0020006-01,"Primary Care Visit to Treat an Injury or Illness",Yes,,Yes,,,,,,"Benefit varies based on whether you visit a PCP practice with a Patient Centered Medical Home (PCMH) model of care or without one. The benefit displayed is when your PCP practices with a PCMH model of care, you may pay more if you see a PCP that does not practice with a PCMH model of care.",,,,No,No
