"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020006,"BlueSolutions for HSA Direct  4100/8200 WPD ",15287RI002,,RIN001,RIS001,RIF005,Existing,PPO,Silver,Yes,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020006-01,"Standard Silver On Exchange Plan",70.83%,0.706398183,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$6,200 ","$6200 per person | $12400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,100 ","$4100 per person | $8200 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,100 ","$10 ","$1,400 ","$60 ","$4,100 ","$100 ","$40 ","$20 ",99%,"Not Applicable",No,"BlueSolutions for HSA Direct  4100/8200 WPD ","$2,800 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020006,"BlueSolutions for HSA Direct  4100/8200 WPD ",15287RI002,,RIN001,RIS001,RIF005,Existing,PPO,Silver,Yes,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020006-02,"Zero Cost Sharing Plan Variation",100.00%,1,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"BlueSolutions Direct  4100/8200 WPD ","$0 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020006,"BlueSolutions for HSA Direct  4100/8200 WPD ",15287RI002,,RIN001,RIS001,RIF005,Existing,PPO,Silver,Yes,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020006-03,"Limited Cost Sharing Plan Variation",70.83%,0.706398183,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$6,200 ","$6200 per person | $12400 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$4,100 ","$4100 per person | $8200 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$4,100 ","$10 ","$1,400 ","$60 ","$4,100 ","$100 ","$40 ","$20 ",99%,"Not Applicable",No,"BlueSolutions Direct  4100/8200 WPD ","$2,800 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020006,"BlueSolutions for HSA Direct  4100/8200 WPD ",15287RI002,,RIN001,RIS001,RIF005,Existing,PPO,Silver,Yes,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020006-04,"73% AV Level Silver Plan",73.95%,0.738075959,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$6,000 ","$6000 per person | $12000 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,900 ","$2900 per person | $5800 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$2,500 ","$0 ","$1,600 ","$60 ","$2,900 ","$0 ","$100 ","$20 ",99%,"Not Applicable",No,"BlueSolutions Direct  4100/8200 WPD ","$2,800 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020006,"BlueSolutions for HSA Direct  4100/8200 WPD ",15287RI002,,RIN001,RIS001,RIF005,Existing,PPO,Silver,Yes,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020006-05,"87% AV Level Silver Plan",87.58%,0.872721182,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$2,900 ","$2900 per person | $5800 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$550 ","$550 per person | $1100 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$550 ","$0 ","$2,000 ","$60 ","$550 ","$0 ","$200 ","$20 ",99%,"Not Applicable",No,"BlueSolutions Direct  4100/8200 WPD ","$660 ","$50 ","$400 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020006,"BlueSolutions for HSA Direct  4100/8200 WPD ",15287RI002,,RIN001,RIS001,RIF005,Existing,PPO,Silver,Yes,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020006-06,"94% AV Level Silver Plan",94.44%,0.941729055,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$900 ","$900 per person | $1800 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",20.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 ","$900 ","$60 ","$0 ","$0 ","$300 ","$20 ",99%,"Not Applicable",No,"BlueSolutions Direct  4100/8200 WPD ","$0 ","$50 ","$400 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020008,"BlueSolutions for HSA Direct 6300/12600 WPD ",15287RI002,,RIN001,RIS001,RIF006,Existing,PPO,"Expanded Bronze",No,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",Yes,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020008-01,"Standard Bronze On Exchange Plan",,0.640409913,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$8,050 ","$8050 per person | $16100 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,300 ","$6300 per person | $12600 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$6,300 ","$10 ","$500 ","$60 ","$5,200 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"BlueSolutions for HSA Direct 6300/12600 WPD ","$2,800 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020008,"BlueSolutions for HSA Direct 6300/12600 WPD ",15287RI002,,RIN001,RIS001,RIF006,Existing,PPO,"Expanded Bronze",No,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020008-02,"Zero Cost Sharing Plan Variation",,1,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group",,,,,,,,,,,,,,,,,,,,,"$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","$0 ","$0 per person | $0 per group","$0 ","$0 ","$0 ","$60 ","$0 ","$0 ","$0 ","$55 ",99%,"Not Applicable",No,"BlueSolutions Direct 6300/12600 WPD ","$0 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,Individual,No,,15287RI0020008,"BlueSolutions for HSA Direct 6300/12600 WPD ",15287RI002,,RIN001,RIS001,RIF006,Existing,PPO,"Expanded Bronze",No,Both,No,No,,"This plan does not include coverage that is not medically necessary.  Abortions for which federal funding is not allowed in accordance with the Affordable Care Act section 130(b)(1)(B)(i) are not covered, namely all abortions except in the case of rape or incest, or for a pregnancy  which places the woman in danger of death unless the abortion is performed. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",No,,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0020008-03,"Limited Cost Sharing Plan Variation",,0.640409913,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$8,050 ","$8050 per person | $16100 per group",,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$6,300 ","$6300 per person | $12600 per group",10.00%,,,,"Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable","$6,300 ","$10 ","$500 ","$60 ","$5,200 ","$0 ","$0 ","$20 ",99%,"Not Applicable",No,"BlueSolutions Direct 6300/12600 WPD ","$2,800 ","$0 ","$0 ","$0 "
2024,RI,,15287,SERFF,1,2/12/2024,,"SHOP (Small Group)",No,,15287RI0070005,"BlueSolutions for HSA 100/60 2000/4000 RX 10/45/70/90/125 WOPD",15287RI007,,RIN001,RIS001,RIF006,Existing,PPO,Gold,No,Both,No,No,,"This plan does not include coverage that is not medically necessary. This plan does not cover services rendered by excluded providers, naturopaths, homeopaths, providers or facilities who are not legally qualified or licensed, Christian Scientist Practitioners, Acupuncturists, or Massage Therapists. ",Yes,No,,"Allows Adult and Child-Only",,No,"Pregnancy, High Blood Pressure & High Cholesterol, Weight Loss Programs, Low Back Pain, Diabetes, Heart Disease, Asthma",,,,,,,1/1/2024,,Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,"Coverage for urgent or emergent care only as well as medically necessary services.",Yes,,,,,15287RI0070005-01,"Standard Gold On Exchange Plan",,0.812489507,Yes,Yes,No,100%,,,,,,,,,,,,,,,,,,"$4,000 ","$4000 per person | $8000 per group",,,"$8,000 ","$8000 per person | $16000 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,,,,,,,,,,,"$2,000 ","$4000 per person | $4000 per group",0.00%,,,,"$4,000 ","$4000 per person | $8000 per group","Not Applicable","per person not applicable | per group not applicable","$2,000 ","$10 ","$0 ","$60 ","$2,000 ","$300 ","$70 ","$20 ",,,No,"BlueSolutions for HSA 100/60 2000/4000 RX 10/45/70/90/125 WOPD","$2,000 ","$0 ","$0 ","$0 "
