"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","STANDARD COMPONENT ID","PLAN ID","BENEFIT NAME","IS EHB","IS STATE MANDATE","IS COVERED","QUANTITY LIMIT ON SVC","LIMIT QUANTITY","LIMIT UNIT","MINIMUM STAY",EXCLUSIONS,EXPLANATION,"EHB VAR REASON","IS SUBJECTED TO DED TIER 1","IS SUBJECTED TO DED TIER 2","IS EXCLUDED FROM INN MOOP","IS EXCLUDED FROM OON MOOP"
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Routine Eye Exam (Adult)",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,Dialysis,Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Prenatal and Postnatal Care",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Inpatient Physician and Surgical Services",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,Transplant,Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Basic Dental Care - Adult",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Weight Loss Programs",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Urgent Care Centers or Facilities",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"X-rays and Diagnostic Imaging",Yes,,Yes,,,,,,"Health plans may require Prior Approval for special radiology procedures (including CT, MRI, MRA, MRS, PET scans, and echocardiograms), polysomnography (sleep studies) as determined by the plan.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Routine Dental Services (Adult)",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Long-Term/Custodial Nursing Home Care",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Rehabilitative Occupational and Rehabilitative Physical Therapy",Yes,,Yes,Yes,30,"Visit(s) per Year",,,"Quantitative limit applies to all therapy session types combined.","Additional EHB Benefit",,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Abortion for Which Public Funding is Prohibited",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Imaging (CT/PET Scans, MRIs)",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Outpatient Surgery Physician/Surgical Services",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Emergency Room Services",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Orthodontia - Child",Yes,,Yes,,,,,,"Orthodontia Medically Necessary for the treatment of a medical condition is covered.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Gender Affirming Care",Yes,,Yes,,,,,,"Medically Necessary treatment for gender dysphoria and related health conditions is covered to the extent required by 8 V.S.A. section 4724 and Insurance Bulletin 174.","Not EHB",,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,Chemotherapy,Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Durable Medical Equipment",Yes,,Yes,,,,,,"Prior approval is required for equipment amounting to more than $500.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Mental/Behavioral Health Outpatient Services",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Preventive Care/Screening/Immunization",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Routine Eye Exam for Children",Yes,,Yes,Yes,1,"Visit(s) per Year",,,,"Additional EHB Benefit",,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Chiropractic Care",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,Radiation,Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Rehabilitative Speech Therapy",Yes,,Yes,Yes,30,"Visit(s) per Year",,,"Quantitative limit applies to all therapy session types combined.","Additional EHB Benefit",,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Home Health Care Services",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Reconstructive Surgery",Yes,,Yes,,,,,,"Reconstructive Procedures are covered when Medically Necessary unless expressly excluded. For purposes of this EHB Benchmark, Reconstructive Procedures  are Medically Necessary procedures to correct gross deformities with physiological and functional impairments attributable to congenital defects, injury (including injuries occurring at birth), disease, or other health conditions (including gender dysphoria). Reconstructive Procedures  include reconstruction of the breast, surgery and reconstruction of the other breast to produce a symmetrical appearance, and treatment of physical complications, including lymphedemas, following Medically Necessary removal of all or part of a breast or breasts.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Allergy Testing",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Infertility Treatment",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Infusion Therapy",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Major Dental Care - Child",Yes,,Yes,,,,,,"Class III (major) services including dentures, bridges, replacement of bridges and dentures, and Medically Necessary orthodontia; and/or Facility and anesthesia charges are covered to the extent required by 8 V.S.A. section 4100i for all Covered Persons.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Routine Foot Care",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Major Dental Care - Adult",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Diabetes Education",Yes,,Yes,,,,,,"As required by 8 V.S.A. section 4089c, coverage includes equipment, supplies, and outpatient self-management training and education, including medical nutrition therapy, for the treatment of insulin dependent diabetes, insulin using diabetes, gestational diabetes, and non-insulin using diabetes.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Private-Duty Nursing",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Generic Drugs",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Specialty Drugs",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Eye Glasses for Children",Yes,,Yes,Yes,1,"Item(s) per Year",,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Basic Dental Care - Child",Yes,,Yes,,,,,,"Class II (basic) services including simple restoration (fillings), crowns and jackets, repair of crowns, wisdom tooth removal, extractions, and endodontics (root canal).",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Substance Abuse Disorder Outpatient Services",Yes,,Yes,,,,,,"Health plans may limit coverage of substance use disorder treatment services to Medically Necessary Care in the least restrictive setting.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Outpatient Rehabilitation Services",Yes,,Yes,Yes,30,"Visit(s) per Year",,,"Quantitative limit applies to all therapy session types combined.","Additional EHB Benefit",,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Inpatient Hospital Services (e.g., Hospital Stay)",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Preferred Brand Drugs",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Primary Care Visit to Treat an Injury or Illness",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Specialist Visit",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Hearing Aids",Yes,,Yes,Yes,1,"Item(s) per 3 Years",,,"Covered up to one per ear every three years","Additional EHB Benefit",,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Substance Abuse Disorder Inpatient Services",Yes,,Yes,,,,,,"Health plans may limit coverage of substance use disorder treatment services to Medically Necessary Care in the least restrictive setting.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Treatment for Temporomandibular Joint Disorders",Yes,,Yes,,,,,,"Diagnosis and Medically Necessary treatment of musculoskeletal disorders that affect any bone or joint in the face, neck, or head and are the result of accident, trauma, congenital defect, developmental defect, or pathology is covered to the extent required by 8 V.S.A. section 4089g.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Orthodontia - Adult",No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Dental Check-Up for Children",Yes,,Yes,,,,,,"Class I services including examinations and cleanings.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Skilled Nursing Facility",Yes,,Yes,,,,,,"Prior approval is required for inpatient services and acute care must be received in the Skilled Nursing Facility.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Well Baby Visits and Care",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,Acupuncture,No,,No,,,,,,,,,,,
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Mental/Behavioral Health Inpatient Services",Yes,,Yes,,,,,,,,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Accidental Dental",Yes,,Yes,,,,,,"The following services are covered for Covered Persons over age 21: treatment for, or in connection with, an accidental injury to jaws, sound natural teeth, mouth or face, provided a continuous course of dental treatment begins within six months of the accident; surgery to correct gross deformity resulting from major disease or Surgery (Surgery must take place within six months of the onset of disease or within six months after Surgery, except as otherwise required by law); surgery related to head or neck cancer where sound natural teeth may be affected primarily or as a result of the chemotherapy or radiation treatment of that cancer; treatment for a congenital or genetic disorder, such as but not limited to the absence of one or more teeth, up to the first molar, or abnormal enamel; and facility and anesthesia charges for Covered Persons with severe disabilities that preclude office-based dental care due to safety considerations.",,,,No,No
2024,VT,13627,SERFF,1,2/12/2024,13627VT0320001,13627VT0320001-01,"Laboratory Outpatient and Professional Services",Yes,,Yes,,,,,,,,,,No,No
