"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","FEDERAL TIN","RATE EXPIRATION","RATE EFFECTIVE DATE","PLAN ID","RATING AREA ID",TOBACCO,AGE,QHP_NON_QHP_TYPE_ID,"INDIVIDUAL RATE","INDIVIDUAL TOBACCO RATE",COUPLE,"PRIMARY SUBSCRIBER AND ONE DEPENDENT","PRIMARY SUBSCRIBER AND TWO DEPENDENTS","PRIMARY SUBSCRIBER AND THREE OR MORE DEPENDENTS","COUPLE AND ONE DEPENDENT","COUPLE AND TWO DEPENDENTS","COUPLE AND THREE OR MORE DEPENDENTS"
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0320001,"Rating Area 1",,,"On the Exchange",1132.59,,2265.18,2185.90,2185.90,2185.90,3182.58,3182.58,3182.58
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0320002,"Rating Area 1",,,"On the Exchange",938.54,,1877.08,1811.38,1811.38,1811.38,2637.30,2637.30,2637.30
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0320003,"Rating Area 1",,,"On the Exchange",761.82,,1523.64,1470.31,1470.31,1470.31,2140.71,2140.71,2140.71
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0320004,"Rating Area 1",,,"On the Exchange",650.77,,1301.54,1255.99,1255.99,1255.99,1828.66,1828.66,1828.66
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0320005,"Rating Area 1",,,"On the Exchange",675.95,,1351.90,1304.58,1304.58,1304.58,1899.42,1899.42,1899.42
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0330001,"Rating Area 1",,,"On the Exchange",791.68,,1583.36,1527.94,1527.94,1527.94,2224.62,2224.62,2224.62
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0330002,"Rating Area 1",,,"On the Exchange",680.95,,1361.90,1314.23,1314.23,1314.23,1913.47,1913.47,1913.47
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0340001,"Rating Area 1",,,Both,309.84,,619.68,597.99,597.99,597.99,870.65,870.65,870.65
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0340002,"Rating Area 1",,,Both,1276.44,,2552.88,2463.53,2463.53,2463.53,3586.80,3586.80,3586.80
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0340003,"Rating Area 1",,,Both,1055.04,,2110.08,2036.23,2036.23,2036.23,2964.66,2964.66,2964.66
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0340004,"Rating Area 1",,,Both,986.50,,1973.00,1903.95,1903.95,1903.95,2772.07,2772.07,2772.07
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0340005,"Rating Area 1",,,Both,726.42,,1452.84,1401.99,1401.99,1401.99,2041.24,2041.24,2041.24
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0340006,"Rating Area 1",,,Both,755.39,,1510.78,1457.90,1457.90,1457.90,2122.65,2122.65,2122.65
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0350001,"Rating Area 1",,,Both,996.84,,1993.68,1923.90,1923.90,1923.90,2801.12,2801.12,2801.12
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0350002,"Rating Area 1",,,Both,760.98,,1521.96,1468.69,1468.69,1468.69,2138.35,2138.35,2138.35
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0360005,"Rating Area 1",,,"On the Exchange",905.72,,1811.44,1748.04,1748.04,1748.04,2545.07,2545.07,2545.07
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0360006,"Rating Area 1",,,"On the Exchange",749.21,,1498.42,1445.98,1445.98,1445.98,2105.28,2105.28,2105.28
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0360007,"Rating Area 1",,,"On the Exchange",669.06,,1338.12,1291.29,1291.29,1291.29,1880.06,1880.06,1880.06
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0370001,"Rating Area 1",,,"On the Exchange",910.92,,1821.84,1758.08,1758.08,1758.08,2559.69,2559.69,2559.69
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0370002,"Rating Area 1",,,"On the Exchange",744.58,,1489.16,1437.04,1437.04,1437.04,2092.27,2092.27,2092.27
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0370003,"Rating Area 1",,,"On the Exchange",659.13,,1318.26,1272.12,1272.12,1272.12,1852.16,1852.16,1852.16
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0380005,"Rating Area 1",,,Both,1017.50,,2035.00,1963.78,1963.78,1963.78,2859.18,2859.18,2859.18
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0380006,"Rating Area 1",,,Both,966.23,,1932.46,1864.82,1864.82,1864.82,2715.11,2715.11,2715.11
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0380007,"Rating Area 1",,,Both,747.51,,1495.02,1442.69,1442.69,1442.69,2100.50,2100.50,2100.50
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0390001,"Rating Area 1",,,Both,1023.16,,2046.32,1974.70,1974.70,1974.70,2875.08,2875.08,2875.08
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0390002,"Rating Area 1",,,Both,963.04,,1926.08,1858.67,1858.67,1858.67,2706.14,2706.14,2706.14
2024,VT,13627,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,13627VT0390003,"Rating Area 1",,,Both,736.00,,1472.00,1420.48,1420.48,1420.48,2068.16,2068.16,2068.16
2024,VT,67380,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,67380VT0070001,"Rating Area 1",,,"On the Exchange",59.00,,112.00,157.00,157.00,157.00,215.00,215.00,215.00
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040001,"Rating Area 1",,,Both,1265.14,,2530.28,2441.72,2441.72,2441.72,3555.04,3555.04,3555.04
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040002,"Rating Area 1",,,Both,1053.61,,2107.22,2033.47,2033.47,2033.47,2960.64,2960.64,2960.64
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040004,"Rating Area 1",,,Both,1090.49,,2180.98,2104.65,2104.65,2104.65,3064.28,3064.28,3064.28
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040005,"Rating Area 1",,,Both,949.58,,1899.16,1832.69,1832.69,1832.69,2668.32,2668.32,2668.32
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040006,"Rating Area 1",,,Both,962.10,,1924.20,1856.85,1856.85,1856.85,2703.50,2703.50,2703.50
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040007,"Rating Area 1",,,Both,977.83,,1955.66,1887.21,1887.21,1887.21,2747.70,2747.70,2747.70
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040009,"Rating Area 1",,,Both,728.76,,1457.52,1406.51,1406.51,1406.51,2047.82,2047.82,2047.82
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040010,"Rating Area 1",,,Both,739.35,,1478.70,1426.95,1426.95,1426.95,2077.57,2077.57,2077.57
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040011,"Rating Area 1",,,Both,734.62,,1469.24,1417.82,1417.82,1417.82,2064.28,2064.28,2064.28
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040013,"Rating Area 1",,,Both,443.29,,886.58,855.55,855.55,855.55,1245.64,1245.64,1245.64
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040023,"Rating Area 1",,,Both,1094.75,,2189.50,2112.87,2112.87,2112.87,3076.25,3076.25,3076.25
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040024,"Rating Area 1",,,Both,948.20,,1896.40,1830.03,1830.03,1830.03,2664.44,2664.44,2664.44
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040025,"Rating Area 1",,,Both,753.33,,1506.66,1453.93,1453.93,1453.93,2116.86,2116.86,2116.86
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0040026,"Rating Area 1",,,Both,735.75,,1471.50,1420.00,1420.00,1420.00,2067.46,2067.46,2067.46
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050001,"Rating Area 1",,,Both,1094.86,,2189.72,2113.08,2113.08,2113.08,3076.56,3076.56,3076.56
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050002,"Rating Area 1",,,Both,912.32,,1824.64,1760.78,1760.78,1760.78,2563.62,2563.62,2563.62
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050004,"Rating Area 1",,,Both,944.14,,1888.28,1822.19,1822.19,1822.19,2653.03,2653.03,2653.03
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050005,"Rating Area 1",,,Both,720.03,,1440.06,1389.66,1389.66,1389.66,2023.28,2023.28,2023.28
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050006,"Rating Area 1",,,Both,734.06,,1468.12,1416.74,1416.74,1416.74,2062.71,2062.71,2062.71
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050007,"Rating Area 1",,,Both,720.03,,1440.06,1389.66,1389.66,1389.66,2023.28,2023.28,2023.28
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050009,"Rating Area 1",,,Both,631.98,,1263.96,1219.72,1219.72,1219.72,1775.86,1775.86,1775.86
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050010,"Rating Area 1",,,Both,641.13,,1282.26,1237.38,1237.38,1237.38,1801.58,1801.58,1801.58
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050011,"Rating Area 1",,,Both,637.04,,1274.08,1229.49,1229.49,1229.49,1790.08,1790.08,1790.08
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050023,"Rating Area 1",,,Both,947.82,,1895.64,1829.29,1829.29,1829.29,2663.37,2663.37,2663.37
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050024,"Rating Area 1",,,Both,740.87,,1481.74,1429.88,1429.88,1429.88,2081.84,2081.84,2081.84
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050025,"Rating Area 1",,,Both,653.19,,1306.38,1260.66,1260.66,1260.66,1835.46,1835.46,1835.46
2024,VT,77566,SERFF,1,02-12-2024,,2024-12-31,2024-01-01,77566VT0050026,"Rating Area 1",,,Both,638.01,,1276.02,1231.36,1231.36,1231.36,1792.81,1792.81,1792.81
